row,col,python_value,verilog_value
0,0,0,256
0,1,1,770
0,2,2,1284
0,3,3,1798
0,4,4,2312
0,5,5,2826
0,6,6,3340
0,7,7,3854
0,8,8,256
0,9,9,770
0,10,10,1284
0,11,11,1798
0,12,12,2312
0,13,13,2826
0,14,14,3340
0,15,15,3854
0,16,0,256
0,17,1,770
0,18,2,1284
0,19,3,1798
0,20,4,2312
0,21,5,2826
0,22,6,3340
0,23,7,3854
0,24,8,256
0,25,9,770
0,26,10,1284
0,27,11,1798
0,28,12,2312
0,29,13,2826
0,30,14,3340
0,31,15,3854
0,32,0,256
0,33,1,770
0,34,2,1284
0,35,3,1798
0,36,4,2312
0,37,5,2826
0,38,6,3340
0,39,7,3854
0,40,8,256
0,41,9,770
0,42,10,1284
0,43,11,1798
0,44,12,2312
0,45,13,2826
0,46,14,3340
0,47,15,3854
0,48,0,256
0,49,1,770
0,50,2,1284
0,51,3,1798
0,52,4,2312
0,53,5,2826
0,54,6,3340
0,55,7,3854
0,56,8,256
0,57,9,770
0,58,10,1284
0,59,11,1798
0,60,12,2312
0,61,13,2826
0,62,14,3340
0,63,15,3854
0,64,0,256
0,65,1,770
0,66,2,1284
0,67,3,1798
0,68,4,2312
0,69,5,2826
0,70,6,3340
0,71,7,3854
0,72,8,256
0,73,9,770
0,74,10,1284
0,75,11,1798
0,76,12,2312
0,77,13,2826
0,78,14,3340
0,79,15,3854
0,80,0,256
0,81,1,770
0,82,2,1284
0,83,3,1798
0,84,4,2312
0,85,5,2826
0,86,6,3340
0,87,7,3854
0,88,8,256
0,89,9,770
0,90,10,1284
0,91,11,1798
0,92,12,2312
0,93,13,2826
0,94,14,3340
0,95,15,3854
0,96,0,256
0,97,1,770
0,98,2,1284
0,99,3,1798
0,100,4,2312
0,101,5,2826
0,102,6,3340
0,103,7,3854
0,104,8,256
0,105,9,770
0,106,10,1284
0,107,11,1798
0,108,12,2312
0,109,13,2826
0,110,14,3340
0,111,15,3854
0,112,0,256
0,113,1,770
0,114,2,1284
0,115,3,1798
0,116,4,2312
0,117,5,2826
0,118,6,3340
0,119,7,3854
0,120,8,256
0,121,9,770
0,122,10,1284
0,123,11,1798
0,124,12,2312
0,125,13,2826
0,126,14,3340
0,127,15,3854
0,128,0,513
0,129,1,1027
0,130,2,1541
0,131,3,2055
0,132,4,2569
0,133,5,3083
0,134,6,3597
0,135,7,15
0,136,8,513
0,137,9,1027
0,138,10,1541
0,139,11,2055
0,140,12,2569
0,141,13,3083
0,142,14,3597
0,144,0,513
0,145,1,1027
0,146,2,1541
0,147,3,2055
0,148,4,2569
0,149,5,3083
0,150,6,3597
0,151,7,15
0,152,8,513
0,153,9,1027
0,154,10,1541
0,155,11,2055
0,156,12,2569
0,157,13,3083
0,158,14,3597
0,160,0,513
0,161,1,1027
0,162,2,1541
0,163,3,2055
0,164,4,2569
0,165,5,3083
0,166,6,3597
0,167,7,15
0,168,8,513
0,169,9,1027
0,170,10,1541
0,171,11,2055
0,172,12,2569
0,173,13,3083
0,174,14,3597
0,176,0,513
0,177,1,1027
0,178,2,1541
0,179,3,2055
0,180,4,2569
0,181,5,3083
0,182,6,3597
0,183,7,15
0,184,8,513
0,185,9,1027
0,186,10,1541
0,187,11,2055
0,188,12,2569
0,189,13,3083
0,190,14,3597
0,192,0,513
0,193,1,1027
0,194,2,1541
0,195,3,2055
0,196,4,2569
0,197,5,3083
0,198,6,3597
0,199,7,15
0,200,8,513
0,201,9,1027
0,202,10,1541
0,203,11,2055
0,204,12,2569
0,205,13,3083
0,206,14,3597
0,208,0,513
0,209,1,1027
0,210,2,1541
0,211,3,2055
0,212,4,2569
0,213,5,3083
0,214,6,3597
0,215,7,15
0,216,8,513
0,217,9,1027
0,218,10,1541
0,219,11,2055
0,220,12,2569
0,221,13,3083
0,222,14,3597
0,224,0,513
0,225,1,1027
0,226,2,1541
0,227,3,2055
0,228,4,2569
0,229,5,3083
0,230,6,3597
0,231,7,15
0,232,8,513
0,233,9,1027
0,234,10,1541
0,235,11,2055
0,236,12,2569
0,237,13,3083
0,238,14,3597
0,240,0,513
0,241,1,1027
0,242,2,1541
0,243,3,2055
0,244,4,2569
0,245,5,3083
0,246,6,3597
0,247,7,15
0,248,8,513
0,249,9,1027
0,250,10,1541
0,251,11,2055
0,252,12,2569
0,253,13,3083
0,254,14,3597
1,0,1,770
1,1,2,1284
1,2,3,1798
1,3,4,2312
1,4,5,2826
1,5,6,3340
1,6,7,3854
1,7,8,256
1,8,9,770
1,9,10,1284
1,10,11,1798
1,11,12,2312
1,12,13,2826
1,13,14,3340
1,14,15,3854
1,15,0,256
1,16,1,770
1,17,2,1284
1,18,3,1798
1,19,4,2312
1,20,5,2826
1,21,6,3340
1,22,7,3854
1,23,8,256
1,24,9,770
1,25,10,1284
1,26,11,1798
1,27,12,2312
1,28,13,2826
1,29,14,3340
1,30,15,3854
1,31,0,256
1,32,1,770
1,33,2,1284
1,34,3,1798
1,35,4,2312
1,36,5,2826
1,37,6,3340
1,38,7,3854
1,39,8,256
1,40,9,770
1,41,10,1284
